"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"NAGREEKEXP","Nagreeka Exports Limited","Trading Window","Nagreeka Exports Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:38:02","2025-09-26 19:38:02","26-Sep-2025 19:38:03","00:00:01","https://nsearchives.nseindia.com/corporate/NAGREEKEXP_26092025193749_Closure_of_Trading_window_OCR.pdf"
"INOXGREEN","Inox Green Energy Services Limited","Shareholders meeting","Inox Green Energy Services Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:37:01","2025-09-26 19:37:01","26-Sep-2025 19:37:02","00:00:01","https://nsearchives.nseindia.com/corporate/IGESL_26092025193649_IGESL_13AGM-Proceedings_dsc.pdf"
"SHALPAINTS","Shalimar Paints Limited","Shareholders meeting","Shalimar Paints Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:36:58","2025-09-26 19:36:58","26-Sep-2025 19:36:59","00:00:01","https://nsearchives.nseindia.com/corporate/SHALPAINTS_26092025193409_BSENSEAGMProceedings.pdf"
"ABDL","Allied Blenders and Distillers Limited","Change in Management","Allied Blenders and Distillers Limited has informed the Exchange about change in Management - Relinquishment of Mr. Anil Somani as CFO","26-Sep-2025 19:36:50","2025-09-26 19:36:50","26-Sep-2025 19:36:52","00:00:02","https://nsearchives.nseindia.com/corporate/ABDINDIA_26092025193627_SEIntimationOutcome_sd.pdf"
"TMPV","Tata Motors Passenger Vehicles Limited","Appointment","Tata Motors Limited has informed the Exchange regarding Appointment of Ms Sudha Krishnan  as an Additional, Non- Executive Independent Director of the company w.e.f. October 01, 2025, subject to approval of the shareholders of the Company.","26-Sep-2025 19:36:18","2025-09-26 19:36:18","26-Sep-2025 19:36:19","00:00:01","https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_26092025193537_NSEBSELETTERFINAL.pdf"
"AUSOMENT","Ausom Enterprise Limited","Shareholders meeting","Ausom Enterprise Limited has informed the Exchange regarding Proceedings of undefined held on September 26, 2025","26-Sep-2025 19:35:40","2025-09-26 19:35:40","26-Sep-2025 19:35:41","00:00:01","https://nsearchives.nseindia.com/corporate/AUSOMENT_26092025193434_OUTCOME41STAGMAUSOMENTERPRISELIMITED.pdf"
"KRSNAA","Krsnaa Diagnostics Limited","Shareholders meeting","Krsnaa Diagnostics Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 25, 2025","26-Sep-2025 19:35:31","2025-09-26 19:35:31","26-Sep-2025 19:35:31","00:00:00","https://nsearchives.nseindia.com/corporate/KRSNAA_26092025193510_543328.pdf"
"CGCL","Capri Global Capital Limited","Shareholders meeting","Capri Global Capital Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:34:49","2025-09-26 19:34:49","26-Sep-2025 19:34:49","00:00:00","https://nsearchives.nseindia.com/corporate/CGCL_26092025193147_Proceedings_AGM_26_09_2025Regulation_30.pdf"
"MOSCHIP","Moschip Technologies Limited","Updates","Moschip Technologies Limited has informed the Exchange regarding 'CEO Presentation '.","26-Sep-2025 19:34:09","2025-09-26 19:34:09","26-Sep-2025 19:34:10","00:00:01","https://nsearchives.nseindia.com/corporate/MOSCHIP_26092025193230_CEO_Presentation_to_BSE.pdf"
"VENUSPIPES","Venus Pipes & Tubes Limited","Shareholders meeting","Voting Results and Consolidated Scrutinizer s report of 11th Annual General Meeting (AGM) ofthe Company","26-Sep-2025 19:33:42","2025-09-26 19:33:42","26-Sep-2025 19:33:43","00:00:01","https://nsearchives.nseindia.com/corporate/VENUSPIPES_26092025193237_Intimation_Cons_Voting_results_Scrutinizer_Report25V.pdf"
"GVPIL","GE Power India Limited","Trading Window","GE Power India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:33:39","2025-09-26 19:33:39","26-Sep-2025 19:33:40","00:00:01","https://nsearchives.nseindia.com/corporate/GEPILDEE_26092025193322_twc30sep.pdf"
"INDOFARM","Indo Farm Equipment Limited","General Updates","Indo Farm Equipment Limited has informed the Exchange about Regulation 30 of the SEBI (LODR) Regulations, 2015 ( Listing Regulations )- Increase in  Promoter/Promoter Group  shareholding in the Company.","26-Sep-2025 19:33:33","2025-09-26 19:33:33","26-Sep-2025 19:33:34","00:00:01","https://nsearchives.nseindia.com/corporate/IFEL_26092025193322_Intimation_Letter_Increasing_PG.pdf"
"S&SPOWER","S&S Power Switchgears Limited","Trading Window","S&S Power Switchgears Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:32:16","2025-09-26 19:32:16","26-Sep-2025 19:32:17","00:00:01","https://nsearchives.nseindia.com/corporate/S_SPOWER_26092025193201_SSPSL_Trading_Window_Closure_Q2.pdf"
"GPTHEALTH","GPT Healthcare Limited","General Updates","GPT Healthcare Limited has informed the Exchange about I100 Days Campaign-'Saksham Niveshak'","26-Sep-2025 19:30:49","2025-09-26 19:30:49","26-Sep-2025 19:30:50","00:00:01","https://nsearchives.nseindia.com/corporate/GPTHEALTHCARE_26092025193030_GHLSakshamLetter.pdf"
"ABDL","Allied Blenders and Distillers Limited","Appointment","Allied Blenders and Distillers Limited has informed the Exchange regarding Appointment of Mr Jayantt Bhalchandra Manmadkar  as Chief Financial Officer of the company w.e.f. October 10, 2025.","26-Sep-2025 19:30:42","2025-09-26 19:30:42","26-Sep-2025 19:30:43","00:00:01","https://nsearchives.nseindia.com/corporate/ABDINDIA_26092025192819_SEIntimationOutcome_sd.pdf"
"SAMMAANCAP","Sammaan Capital Limited","Updates","Sammaan Capital Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable Non-convertible Debentures issued by our Company, through Public Issue, and listed on the Stock Exchange'.","26-Sep-2025 19:30:07","2025-09-26 19:30:07","26-Sep-2025 19:30:07","00:00:00","https://nsearchives.nseindia.com/corporate/IHFL_26092025192948_SCL_Exchange_Retail_intimation_57_26092025_OP8.pdf"
"GPTINFRA","GPT Infraprojects Limited","General Updates","GPT Infraprojects Limited has informed the Exchange about General Updates","26-Sep-2025 19:30:06","2025-09-26 19:30:06","26-Sep-2025 19:30:06","00:00:00","https://nsearchives.nseindia.com/corporate/GPTINFRA_26092025192854_GILSEintimationniveshaksgd.pdf"
"ORICONENT","Oricon Enterprises Limited","Trading Window","Oricon Enterprises Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:29:49","2025-09-26 19:29:49","26-Sep-2025 19:29:50","00:00:01","https://nsearchives.nseindia.com/corporate/ORICON_26092025192937_TradingWindowclosureSep262025signed.pdf"
"PTCIL","PTC Industries Limited","Shareholders meeting","PTC Industries Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025. Further, the company has submitted the Exchange a copy of Srutinizers report.","26-Sep-2025 19:29:45","2025-09-26 19:29:45","26-Sep-2025 19:29:45","00:00:00","https://nsearchives.nseindia.com/corporate/PTCINDUSTRIES_26092025192828_Exchange_AGM_Proceeding_scrutiniser_report_62_AGM.pdf"
"PRAKASHSTL","Prakash Steelage Limited","Shareholders meeting","Prakash Steelage Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:29:02","2025-09-26 19:29:02","26-Sep-2025 19:29:02","00:00:00","https://nsearchives.nseindia.com/corporate/PRAKASHSTL_26092025192816_Proceedings_of_AGM__1_.pdf"
"BRIGADE","Brigade Enterprises Limited","General Updates","Brigade Enterprises Limited has informed the Exchange about Intimation under Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015","26-Sep-2025 19:28:57","2025-09-26 19:28:57","26-Sep-2025 19:28:58","00:00:01","https://nsearchives.nseindia.com/corporate/BRIGADE_26092025192837_Intimation30saleofland.pdf"
"KIRLPNU","Kirloskar Pneumatic Company Limited","Trading Window","Kirloskar Pneumatic Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:28:52","2025-09-26 19:28:52","26-Sep-2025 19:28:52","00:00:00","https://nsearchives.nseindia.com/corporate/truneshgujar_26092025192840_Trading_window.pdf"
"OIL","Oil India Limited","Press Release","Oil India Limited has informed the Exchange regarding a press release dated September 26, 2025, titled ""Oil India Reports Occurrence of Natural Gas in Andaman Shallow Offshore Block."".","26-Sep-2025 19:28:19","2025-09-26 19:28:19","26-Sep-2025 19:28:20","00:00:01","https://nsearchives.nseindia.com/corporate/OIL_26092025192803_REG30PRESSRELEASE26092025.pdf"
"SBICARD","SBI Cards and Payment Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","SBI Cards and Payment Services Limited has informed the Exchange about Schedule of meet","26-Sep-2025 19:27:41","2025-09-26 19:27:41","26-Sep-2025 19:27:42","00:00:01","https://nsearchives.nseindia.com/corporate/SBICARDS_26092025192311_SEFilingInvestorMeet.pdf"
"TARC","TARC Limited","Shareholders meeting","TARC Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 25, 2024. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 19:27:09","2025-09-26 19:27:09","26-Sep-2025 19:27:09","00:00:00","https://nsearchives.nseindia.com/corporate/TARC_26092025192027_Voting_Results_AGM2025.pdf"
"ABDL","Allied Blenders and Distillers Limited","Outcome of Board Meeting","Allied Blenders and Distillers Limited has informed the Exchange regarding Outcome of Board Meeting held on September 26, 2025.","26-Sep-2025 19:26:14","2025-09-26 19:26:14","26-Sep-2025 19:26:14","00:00:00","https://nsearchives.nseindia.com/corporate/ABDINDIA_26092025192556_SEIntimationOutcome_sd.pdf"
"DONEAR","Donear Industries Limited","General Updates","Donear Industries Limited has informed the Exchange about General Updates","26-Sep-2025 19:25:42","2025-09-26 19:25:42","26-Sep-2025 19:25:43","00:00:01","https://nsearchives.nseindia.com/corporate/DONEAR_26092025192518_FinalOutcomesd.pdf"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","Disclosure under SEBI Takeover Regulations","Gujarat Mineral Development Corporation Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.","26-Sep-2025 19:25:37","2025-09-26 19:25:37","26-Sep-2025 19:25:39","00:00:02","https://nsearchives.nseindia.com/corporate/team_bbodade_26092025192311_GMDCLTD.pdf"
"FORCEMOT","FORCE MOTORS LTD","Trading Window","FORCE MOTORS LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:25:08","2025-09-26 19:25:08","26-Sep-2025 19:25:09","00:00:01","https://nsearchives.nseindia.com/corporate/FORCEMOTORS_26092025192451_Intimation_of_Trading_Window_Closure.pdf"
"RACE","Race Eco Chain Limited","Updates","Race Eco Chain Limited has informed the Exchange regarding 'ESG RATING'  by CFC Finlease Private Limited - SEBI Registered ERP - IN/ERP/Category-II/0011","26-Sep-2025 19:24:58","2025-09-26 19:24:58","26-Sep-2025 19:24:59","00:00:01","https://nsearchives.nseindia.com/corporate/RACEECOCHAIN_26092025192444_RACE_ESG_RATING_FY_2024-25.pdf"
"IRMENERGY","IRM Energy Limited","Trading Window","IRM Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:24:23","2025-09-26 19:24:23","26-Sep-2025 19:24:24","00:00:01","https://nsearchives.nseindia.com/corporate/IRMENERGY_26092025192412_TWCintimationsigned.pdf"
"HINDCOPPER","Hindustan Copper Limited","General Updates","Hindustan Copper Limited has informed the Exchange about General Updates","26-Sep-2025 19:23:20","2025-09-26 19:23:20","26-Sep-2025 19:23:21","00:00:01","https://nsearchives.nseindia.com/corporate/HINDCOPPERMKD_26092025192243_Reg_30ApptofSecretarialAuditor2025-2030.pdf"
"INOXWIND","Inox Wind Limited","Shareholders meeting","Inox Wind Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:23:08","2025-09-26 19:23:08","26-Sep-2025 19:23:08","00:00:00","https://nsearchives.nseindia.com/corporate/INOXWIND_26092025192244_IWLAGMProceeding26092025.pdf"
"PRITI","Priti International Limited","Shareholders meeting","Priti International Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:22:57","2025-09-26 19:22:57","26-Sep-2025 19:22:57","00:00:00","https://nsearchives.nseindia.com/corporate/PRITI_26092025192220_AGM_Proceedings_1.pdf"
"DCMNVL","DCM Nouvelle Limited","Trading Window","DCM Nouvelle Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:22:31","2025-09-26 19:22:31","26-Sep-2025 19:22:32","00:00:01","https://nsearchives.nseindia.com/corporate/DCMNVL_26092025191928_NSEBSESigned.pdf"
"TRU","TruCap Finance Limited","Trading Window","TruCap Finance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:21:49","2025-09-26 19:21:49","26-Sep-2025 19:21:50","00:00:01","https://nsearchives.nseindia.com/corporate/Trucap_26092025192124_Trading_Window_Closure_Intimation-September_2025.pdf"
"GPTHEALTH","GPT Healthcare Limited","Shareholders meeting","GPT Healthcare Limited has informed the Exchange regarding Notice of Postal Ballot","26-Sep-2025 19:21:46","2025-09-26 19:21:46","26-Sep-2025 19:21:46","00:00:00","https://nsearchives.nseindia.com/corporate/GPTHEALTHCARE_26092025192128_GHLPostalBallotNoticeCoveringLetter.pdf"
"DONEAR","Donear Industries Limited","Outcome of Board Meeting","Donear Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on September 26, 2025.","26-Sep-2025 19:21:38","2025-09-26 19:21:38","26-Sep-2025 19:21:39","00:00:01","https://nsearchives.nseindia.com/corporate/DONEAR_26092025192129_FinalOutcomesd.pdf"
"RAJMET","Rajnandini Metal Limited","Shareholders meeting","Rajnandini Metal Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:21:28","2025-09-26 19:21:28","26-Sep-2025 19:21:28","00:00:00","https://nsearchives.nseindia.com/corporate/RAJMET_26092025191950_ProceedingoftheAGM2025.pdf"
"UNIINFO","Uniinfo Telecom Services Limited","Trading Window","Uniinfo Telecom Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:21:05","2025-09-26 19:21:05","26-Sep-2025 19:21:07","00:00:02","https://nsearchives.nseindia.com/corporate/UNIINFO_26092025192051_Closure_of_trading_window.pdf"
"ATL","Allcargo Terminals Limited","Shareholders meeting","Allcargo Terminals Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025. Further, the company has submitted voting Results and Scrutinizers report.","26-Sep-2025 19:20:34","2025-09-26 19:20:34","26-Sep-2025 19:20:34","00:00:00","https://nsearchives.nseindia.com/corporate/ALLCARGOTERMINALS_26092025192019_SEUploadFinalSigned.pdf"
"DONEAR","Donear Industries Limited","Change in Company Secretary/Compliance Officer","Donear Industries Limited has informed the Exchange about Change in Company Secretary/Compliance Officer","26-Sep-2025 19:19:49","2025-09-26 19:19:49","26-Sep-2025 19:19:50","00:00:01","https://nsearchives.nseindia.com/corporate/DONEAR_26092025191937_FinalOutcomesd.pdf"
"BROOKS","Brooks Laboratories Limited","Shareholders meeting","Brooks Laboratories Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:19:44","2025-09-26 19:19:44","26-Sep-2025 19:19:45","00:00:01","https://nsearchives.nseindia.com/corporate/BROOKS_26092025191841_Proceedings.pdf"
"GALLANTT","Gallantt Ispat Limited","Trading Window","Gallantt Ispat Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:19:09","2025-09-26 19:19:09","26-Sep-2025 19:19:09","00:00:00","https://nsearchives.nseindia.com/corporate/GALLANTT_26092025191828_GIL_26092025.pdf"
"DONEAR","Donear Industries Limited","Outcome of Board Meeting","Donear Industries Limited has informed the Exchange regarding  Board meeting held on September 26, 2025.","26-Sep-2025 19:18:33","2025-09-26 19:18:33","26-Sep-2025 19:18:34","00:00:01","https://nsearchives.nseindia.com/corporate/DONEAR_26092025191808_FinalOutcomesd.pdf"
"TEAMGTY","Team India Guaranty Limited","Trading Window","Team India Guaranty Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:18:17","2025-09-26 19:18:17","26-Sep-2025 19:18:19","00:00:02","https://nsearchives.nseindia.com/corporate/TIMESGTY_26092025191810_Intimation_Trading_Window.pdf"
"HINDCOMPOS","Hindustan Composites Limited","Shareholders meeting","Hindustan Composites Limited has submitted the Exchange a copy Srutinizers report of  61st Annual General Meeting held on September 25, 2025. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 19:17:53","2025-09-26 19:17:53","26-Sep-2025 19:17:53","00:00:00","https://nsearchives.nseindia.com/corporate/HINDCOMPOS_26092025191056_HCLReg44VotingResultsScrutinizersReportAGM2025.pdf"
"BRIGADE","Brigade Enterprises Limited","General Updates","Brigade Enterprises Limited has informed the Exchange about Acquisition of Equity Shares by the Company","26-Sep-2025 19:16:56","2025-09-26 19:16:56","26-Sep-2025 19:16:57","00:00:01","https://nsearchives.nseindia.com/corporate/BRIGADE_26092025191646_IntimationforacquisitionofAMGshares.pdf"
"KIRLPNU","Kirloskar Pneumatic Company Limited","General Updates","Kirloskar Pneumatic Company Limited has informed the Exchange about General Updates w.r.t re-appointment of Mr Tejas Deshpande (DIN 01942507) as an Independent Director of the Company for a second term of five consecutive years with effect from October 27, 2025 till October 26, 2030","26-Sep-2025 19:15:22","2025-09-26 19:15:22","26-Sep-2025 19:15:23","00:00:01","https://nsearchives.nseindia.com/corporate/truneshgujar_26092025191433_TD_disclosure.pdf"
"TMPV","Tata Motors Passenger Vehicles Limited","General Updates","Tata Motors Limited has informed the Exchange about Certified true copy of the Orders obtained from the Hon ble National Company Law Tribunal, Mumbai Bench in the matter of the Composite Scheme of Arrangement amongst Tata Motors Limited, TML Commercial Vehicles Limited and Tata Motors Passenger Vehicles Limited and their respective shareholders","26-Sep-2025 19:15:06","2025-09-26 19:15:06","26-Sep-2025 19:15:07","00:00:01","https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_26092025191443_NSEBSEORDER.pdf"
"PRITI","Priti International Limited","Trading Window","Priti International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:15:01","2025-09-26 19:15:01","26-Sep-2025 19:15:02","00:00:01","https://nsearchives.nseindia.com/corporate/PRITI_26092025191447_Intimation_Trading_Window_1.pdf"
"INNOVANA","Innovana Thinklabs Limited","Trading Window","Innovana Thinklabs Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:14:50","2025-09-26 19:14:50","26-Sep-2025 19:14:51","00:00:01","https://nsearchives.nseindia.com/corporate/INNOVANA_26092025191315_Intimation_Closure_of_Trading_Window_OCR.pdf"
"AXITA","Axita Cotton Limited","Trading Window","Axita Cotton Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:14:42","2025-09-26 19:14:42","26-Sep-2025 19:14:43","00:00:01","https://nsearchives.nseindia.com/corporate/AXITA_26092025191030_Q3TradingWindowClosureIntimation.pdf"
"BAJFINANCE","Bajaj Finance Limited","Trading Window","Bajaj Finance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:14:02","2025-09-26 19:14:02","26-Sep-2025 19:14:04","00:00:02","https://nsearchives.nseindia.com/corporate/BAJFINANCE_26092025191341_CLOSUREOFTRADINGWINDOWQ2FY26.pdf"
"DANGEE","Dangee Dums Limited","Shareholders meeting","Dangee Dums Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Friday, September 26, 2025.","26-Sep-2025 19:13:59","2025-09-26 19:13:59","26-Sep-2025 19:13:59","00:00:00","https://nsearchives.nseindia.com/corporate/DANGEE_26092025191304_ProceedingofAGM2025.pdf"
"RUPA","Rupa & Company Limited","Trading Window","Rupa & Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:13:41","2025-09-26 19:13:41","26-Sep-2025 19:13:42","00:00:01","https://nsearchives.nseindia.com/corporate/RUPA_26092025191316_TradingWindow.pdf"
"RATNAVEER","Ratnaveer Precision Engineering Limited","Trading Window","Ratnaveer Precision Engineering Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:13:25","2025-09-26 19:13:25","26-Sep-2025 19:13:27","00:00:02","https://nsearchives.nseindia.com/corporate/RATNAVEER_26092025191302_TWC.pdf"
"BALLARPUR","Ballarpur Industries Limited","Trading Window","Ballarpur Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:13:05","2025-09-26 19:13:05","26-Sep-2025 19:13:06","00:00:01","https://nsearchives.nseindia.com/corporate/BALLARPUR_26092025191253_Trading_Window_Closure_01102025.pdf"
"DGCONTENT","Digicontent Limited","Trading Window","Digicontent Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:12:56","2025-09-26 19:12:56","26-Sep-2025 19:12:57","00:00:01","https://nsearchives.nseindia.com/corporate/DGCONTENT_26092025191243_DCLclosureofwindowtradingsept2025.pdf"
"VGL","VARVEE GLOBAL LIMITED","Trading Window","Aarvee Denims & Exports Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:12:53","2025-09-26 19:12:53","26-Sep-2025 19:12:54","00:00:01","https://nsearchives.nseindia.com/corporate/AARVEEDEN_26092025191240_Closure_of_trading_window_SE.pdf"
"EVERESTIND","Everest Industries Limited","Trading Window","Everest Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:12:51","2025-09-26 19:12:51","26-Sep-2025 19:12:52","00:00:01","https://nsearchives.nseindia.com/corporate/EVERESTINDUSTRIES_26092025191017_ClosureOfTradingWindowSept2025.pdf"
"INDLMETER","IMP Powers Limited","Shareholders meeting","IMP Powers Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:12:48","2025-09-26 19:12:48","26-Sep-2025 19:12:48","00:00:00","https://nsearchives.nseindia.com/corporate/INDLMETER_26092025191232_AGMOutcome.pdf"
"FLEXITUFF","Flexituff Ventures International Limited","Trading Window","Flexituff Ventures International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:12:09","2025-09-26 19:12:09","26-Sep-2025 19:12:10","00:00:01","https://nsearchives.nseindia.com/corporate/FLEXITUFF_26092025191157_Final_Trading_Window_closure_pdf.pdf"
"IXIGO","Le Travenues Technology Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Le Travenues Technology Limited has informed the Exchange about Outcome of Analyst / Investor Meeting held on September 26, 2025","26-Sep-2025 19:11:40","2025-09-26 19:11:40","26-Sep-2025 19:11:41","00:00:01","https://nsearchives.nseindia.com/corporate/IXIGO_26092025191128_Announcement_Reg_30_Outcome_of_Analyst_Investor_Meeting_26092025.pdf"
"TRAVELFOOD","Travel Food Services Limited","Trading Window","Travel Food Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:11:38","2025-09-26 19:11:38","26-Sep-2025 19:11:39","00:00:01","https://nsearchives.nseindia.com/corporate/TRAVELFOOD_26092025191003_TFSWindowClosure26092025N.pdf"
"THEINVEST","The Investment Trust Of India Limited","Trading Window","The Investment Trust Of India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:11:05","2025-09-26 19:11:05","26-Sep-2025 19:11:06","00:00:01","https://nsearchives.nseindia.com/corporate/THEINVEST_26092025191056_Trading_window_closure_notice.pdf"
"DIAMONDYD","Prataap Snacks Limited","Trading Window","Prataap Snacks Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:10:51","2025-09-26 19:10:51","26-Sep-2025 19:10:52","00:00:01","https://nsearchives.nseindia.com/corporate/DIAMONDYD_26092025190959_IntimationClosureofTradingWindow30092025signed.pdf"
"HUHTAMAKI","Huhtamaki India Limited","Trading Window","Huhtamaki India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:10:30","2025-09-26 19:10:30","26-Sep-2025 19:10:31","00:00:01","https://nsearchives.nseindia.com/corporate/HUHTAMAKI_26092025190945_HIL_TradingWindowClosure_Sept25.pdf"
"SECURKLOUD","SECUREKLOUD TECHNOLOGIES LIMITED","Trading Window","SECUREKLOUD TECHNOLOGIES LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:09:29","2025-09-26 19:09:29","26-Sep-2025 19:09:30","00:00:01","https://nsearchives.nseindia.com/corporate/SECURKLOUD_26092025190800_CL_SD.pdf"
"NINSYS","NINtec Systems Limited","Trading Window","Nintec Systems Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:09:13","2025-09-26 19:09:13","26-Sep-2025 19:09:14","00:00:01","https://nsearchives.nseindia.com/corporate/NINSYS_26092025190902_ClosureofTradingwindow.pdf"
"TTL","T T Limited","General Updates","T T Limited has informed the Exchange about General Updates","26-Sep-2025 19:09:09","2025-09-26 19:09:09","26-Sep-2025 19:09:11","00:00:02","https://nsearchives.nseindia.com/corporate/TTL_26092025190858_Intimation.pdf"
"POONAWALLA","Poonawalla Fincorp Limited","Trading Window","Poonawalla Fincorp Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 19:08:56","2025-09-26 19:08:56","26-Sep-2025 19:08:57","00:00:01","https://nsearchives.nseindia.com/corporate/SECPOONAWALLA_26092025190837_PFLBoardMeetingandTradingWindowQ2FY26SZ.pdf"
"TATVA","Tatva Chintan Pharma Chem Limited","Shareholders meeting","Tatva Chintan Pharma Chem Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 19:07:39","2025-09-26 19:07:39","26-Sep-2025 19:07:39","00:00:00","https://nsearchives.nseindia.com/corporate/TATVA_26092025185656_OF.pdf"
